delta_mu_O_eV,gamma_T1_Jm2,gamma_T2_Jm2,gamma_T3_Jm2
-2.492943982499999933e+00,4.779020202796099959e+00,9.747626700970000169e-01,7.766634073846599984e-01
-2.467762730151500161e+00,4.760803671296500283e+00,9.747626700970000169e-01,7.948799388841799596e-01
-2.442581477802999945e+00,4.742587139797000084e+00,9.747626700970000169e-01,8.130964703837100238e-01
-2.417400225454500173e+00,4.724370608297499885e+00,9.747626700970000169e-01,8.313130018832299850e-01
-2.392218973106099877e+00,4.706154076797999686e+00,9.747626700970000169e-01,8.495295333827600492e-01
-2.367037720757600106e+00,4.687937545298400011e+00,9.747626700970000169e-01,8.677460648822800104e-01
-2.341856468409099890e+00,4.669721013798899811e+00,9.747626700970000169e-01,8.859625963817999716e-01
-2.316675216060600118e+00,4.651504482299399612e+00,9.747626700970000169e-01,9.041791278813300359e-01
-2.291493963712099902e+00,4.633287950799900301e+00,9.747626700970000169e-01,9.223956593808499971e-01
-2.266312711363600130e+00,4.615071419300299738e+00,9.747626700970000169e-01,9.406121908803799503e-01
-2.241131459015199834e+00,4.596854887800800427e+00,9.747626700970000169e-01,9.588287223799000225e-01
-2.215950206666700062e+00,4.578638356301300227e+00,9.747626700970000169e-01,9.770452538794299757e-01
-2.190768954318199846e+00,4.560421824801800028e+00,9.747626700970000169e-01,9.952617853789500479e-01
-2.165587701969700074e+00,4.542205293302200353e+00,9.747626700970000169e-01,1.013478316878499985e+00
-2.140406449621199858e+00,4.523988761802700154e+00,9.747626700970000169e-01,1.031694848377999962e+00
-2.115225197272700086e+00,4.505772230303199954e+00,9.747626700970000169e-01,1.049911379877499940e+00
-2.090043944924199870e+00,4.487555698803699755e+00,9.747626700970000169e-01,1.068127911376999917e+00
-2.064862692575800018e+00,4.469339167304100080e+00,9.747626700970000169e-01,1.086344442876600036e+00
-2.039681440227299802e+00,4.451122635804599881e+00,9.747626700970000169e-01,1.104560974376100013e+00
-2.014500187878800030e+00,4.432906104305099682e+00,9.747626700970000169e-01,1.122777505875599990e+00
-1.989318935530300037e+00,4.414689572805600370e+00,9.747626700970000169e-01,1.140994037375099968e+00
-1.964137683181800043e+00,4.396473041305999807e+00,9.747626700970000169e-01,1.159210568874700087e+00
-1.938956430833300049e+00,4.378256509806499608e+00,9.747626700970000169e-01,1.177427100374200064e+00
-1.913775178484800055e+00,4.360039978307000297e+00,9.747626700970000169e-01,1.195643631873700041e+00
-1.888593926136399981e+00,4.341823446807500098e+00,9.747626700970000169e-01,1.213860163373200018e+00
-1.863412673787899987e+00,4.323606915307999898e+00,9.747626700970000169e-01,1.232076694872799916e+00
-1.838231421439399993e+00,4.305390383808400223e+00,9.747626700970000169e-01,1.250293226372299893e+00
-1.813050169090899999e+00,4.287173852308900024e+00,9.747626700970000169e-01,1.268509757871800092e+00
-1.787868916742400005e+00,4.268957320809399825e+00,9.747626700970000169e-01,1.286726289371300069e+00
-1.762687664393900011e+00,4.250740789309899625e+00,9.747626700970000169e-01,1.304942820870899967e+00
-1.737506412045499937e+00,4.232524257810299950e+00,9.747626700970000169e-01,1.323159352370399944e+00
-1.712325159696999943e+00,4.214307726310799751e+00,9.747626700970000169e-01,1.341375883869899921e+00
-1.687143907348499949e+00,4.196091194811300440e+00,9.747626700970000169e-01,1.359592415369399898e+00
-1.661962654999999955e+00,4.177874663311800241e+00,9.747626700970000169e-01,1.377808946869000017e+00
-1.636781402651499961e+00,4.159658131812199677e+00,9.747626700970000169e-01,1.396025478368499995e+00
-1.611600150302999968e+00,4.141441600312700366e+00,9.747626700970000169e-01,1.414242009867999972e+00
-1.586418897954499974e+00,4.123225068813200167e+00,9.747626700970000169e-01,1.432458541367499949e+00
-1.561237645606099900e+00,4.105008537313699968e+00,9.747626700970000169e-01,1.450675072867100068e+00
-1.536056393257599906e+00,4.086792005814100293e+00,9.747626700970000169e-01,1.468891604366600045e+00
-1.510875140909099912e+00,4.068575474314600093e+00,9.747626700970000169e-01,1.487108135866100023e+00
-1.485693888560599918e+00,4.050358942815099894e+00,9.747626700970000169e-01,1.505324667365600000e+00
-1.460512636212099924e+00,4.032142411315599695e+00,9.747626700970000169e-01,1.523541198865199897e+00
-1.435331383863599930e+00,4.013925879816000020e+00,9.747626700970000169e-01,1.541757730364700096e+00
-1.410150131515200078e+00,3.995709348316499820e+00,9.747626700970000169e-01,1.559974261864200074e+00
-1.384968879166700084e+00,3.977492816817000065e+00,9.747626700970000169e-01,1.578190793363700051e+00
-1.359787626818200090e+00,3.959276285317499866e+00,9.747626700970000169e-01,1.596407324863299948e+00
-1.334606374469700096e+00,3.941059753817900191e+00,9.747626700970000169e-01,1.614623856362799925e+00
-1.309425122121200102e+00,3.922843222318399992e+00,9.747626700970000169e-01,1.632840387862299902e+00
-1.284243869772700108e+00,3.904626690818899792e+00,9.747626700970000169e-01,1.651056919361800102e+00
-1.259062617424199892e+00,3.886410159319400037e+00,9.747626700970000169e-01,1.669273450861399999e+00
-1.233881365075800041e+00,3.868193627819799918e+00,9.747626700970000169e-01,1.687489982360899976e+00
-1.208700112727300047e+00,3.849977096320300163e+00,9.747626700970000169e-01,1.705706513860399953e+00
-1.183518860378800053e+00,3.831760564820799964e+00,9.747626700970000169e-01,1.723923045359899930e+00
-1.158337608030300059e+00,3.813544033321300208e+00,9.747626700970000169e-01,1.742139576859500050e+00
-1.133156355681800065e+00,3.795327501821700089e+00,9.747626700970000169e-01,1.760356108359000027e+00
-1.107975103333300071e+00,3.777110970322199890e+00,9.747626700970000169e-01,1.778572639858500004e+00
-1.082793850984800077e+00,3.758894438822700135e+00,9.747626700970000169e-01,1.796789171357999981e+00
-1.057612598636400003e+00,3.740677907323199936e+00,9.747626700970000169e-01,1.815005702857600101e+00
-1.032431346287900009e+00,3.722461375823599816e+00,9.747626700970000169e-01,1.833222234357100078e+00
-1.007250093939400015e+00,3.704244844324100061e+00,9.747626700970000169e-01,1.851438765856600055e+00
-9.820688415909100133e-01,3.686028312824599862e+00,9.747626700970000169e-01,1.869655297356100032e+00
-9.568875892424200114e-01,3.667811781325100107e+00,9.747626700970000169e-01,1.887871828855600009e+00
-9.317063368939400014e-01,3.649595249825499987e+00,9.747626700970000169e-01,1.906088360355199907e+00
-9.065250845454499995e-01,3.631378718325999788e+00,9.747626700970000169e-01,1.924304891854700106e+00
-8.813438321969699896e-01,3.613162186826500033e+00,9.747626700970000169e-01,1.942521423354200083e+00
-8.561625798484799876e-01,3.594945655326999834e+00,9.747626700970000169e-01,1.960737954853700060e+00
-8.309813274999999777e-01,3.576729123827400159e+00,9.747626700970000169e-01,1.978954486353299957e+00
